location_1,location_2,distance
Australian_Capital_Territory,Australian_Capital_Territory,0.0
Australian_Capital_Territory,New_South_Wales,576.134236731
Australian_Capital_Territory,Northern_Territory,784.595098003
Australian_Capital_Territory,Queensland,539.823121562
Australian_Capital_Territory,South_Australia,665.341694299
Australian_Capital_Territory,Tasmania,783.142763239
Australian_Capital_Territory,Victoria,486.418375891
Australian_Capital_Territory,Western_Australia,472.723975134
Australian_Capital_Territory,Alberta,636.366835005
Australian_Capital_Territory,British_Columbia,971.168379681
Australian_Capital_Territory,Manitoba,821.434089847
Australian_Capital_Territory,New_Brunswick,1018.46050947
Australian_Capital_Territory,Newfoundland_and_Labrador,1075.21120275
Australian_Capital_Territory,Nova_Scotia,1058.10993051
Australian_Capital_Territory,Ontario,869.804201377
Australian_Capital_Territory,Prince_Edward_Island,1070.58530607
Australian_Capital_Territory,Quebec,856.608204037
Australian_Capital_Territory,Saskatchewan,889.885517433
Australian_Capital_Territory,Northwest_Territories,1427.72598444
Australian_Capital_Territory,Nunavut,1848.94692876
Australian_Capital_Territory,Yukon,1308.56743144
Australian_Capital_Territory,Anhui,1307.38201319
Australian_Capital_Territory,Beijing,1443.73515023
Australian_Capital_Territory,Chongqing,1365.84603846
Australian_Capital_Territory,Fujian,1210.85374511
Australian_Capital_Territory,Gansu,1400.90516506
Australian_Capital_Territory,Guangdong,1256.97881961
Australian_Capital_Territory,Guangxi,1353.15428609
Australian_Capital_Territory,Guizhou,1359.84967374
Australian_Capital_Territory,Hainan,1317.59408574
Australian_Capital_Territory,Hebei,1291.56022334
Australian_Capital_Territory,Heilongjiang,1263.45821711
Australian_Capital_Territory,Henan,1359.59670651
Australian_Capital_Territory,Hubei,1269.20311754
Australian_Capital_Territory,Hunan,1334.9794181
Australian_Capital_Territory,Inner_Mongolia,1217.80555271
Australian_Capital_Territory,Jiangsu,1264.86095789
Australian_Capital_Territory,Jiangxi,1279.83888654
Australian_Capital_Territory,Jilin,1278.32370185
Australian_Capital_Territory,Liaoning,1282.4815208
Australian_Capital_Territory,Ningxia,1280.67075239
Australian_Capital_Territory,Qinghai,1380.30667339
Australian_Capital_Territory,Shaanxi,1292.94916829
Australian_Capital_Territory,Shandong,1268.32644213
Australian_Capital_Territory,Shanghai,1434.87436165
Australian_Capital_Territory,Shanxi,1232.00799869
Australian_Capital_Territory,Sichuan,1364.75501826
Australian_Capital_Territory,Tianjin,1312.44132327
Australian_Capital_Territory,Tibet,1516.36729652
Australian_Capital_Territory,Xinjiang,1263.9540139
