country,location,artotal
Australia,Australian_Capital_Territory,0.6852550000000001
Australia,New_South_Wales,0.630293
Australia,Northern_Territory,0.658946
Australia,Queensland,0.633343
Australia,South_Australia,0.616846
Australia,Tasmania,0.5931649999999999
Australia,Victoria,0.63658
Australia,Western_Australia,0.646239
Canada,Alberta,0.701804
Canada,British_Columbia,0.63581
Canada,Manitoba,0.674393
Canada,New_Brunswick,0.617553
Canada,Newfoundland_and_Labrador,0.618849
Canada,Nova_Scotia,0.630872
Canada,Ontario,0.6714399999999999
Canada,Prince_Edward_Island,0.661447
Canada,Quebec,0.613966
Canada,Saskatchewan,0.6654
Canada,Northwest_Territories,0.637364
Canada,Nunavut,0.653921
Canada,Yukon,0.706566
China,Anhui,0.63574
China,Beijing,0.551322
China,Chongqing,0.610336
China,Fujian,0.633621
China,Gansu,0.664405
China,Guangdong,0.648223
China,Guangxi,0.66993
China,Guizhou,0.672619
China,Hainan,0.647183
China,Hebei,0.649536
China,Heilongjiang,0.59922
China,Henan,0.661935
China,Hubei,0.638782
China,Hunan,0.648015
China,Inner_Mongolia,0.6234930000000001
China,Jiangsu,0.614681
China,Jiangxi,0.652062
China,Jilin,0.606087
China,Liaoning,0.5852729999999999
China,Ningxia,0.651947
China,Qinghai,0.6561239999999999
China,Shaanxi,0.653274
China,Shandong,0.654978
China,Shanghai,0.571329
China,Shanxi,0.628536
China,Sichuan,0.652208
China,Tianjin,0.5775710000000001
China,Tibet,0.610766
China,Xinjiang,0.655163
China,Yunnan,0.683301
China,Zhejiang,0.615527
Europe,Greece,0.607019
Europe,Norway,0.660171
Europe,Romania,0.6210140000000001
Europe,Slovakia,0.670504
Europe,Spain,0.658742
Europe,Portugal,0.659321
Europe,Ireland,0.689769
Europe,France,0.63794
Europe,Slovenia,0.652433
Europe,Netherlands,0.622582
Europe,Finland,0.636414
Europe,Austria,0.626486
Europe,United-Kingdom,0.639809
Europe,Italy,0.596428
Europe,Germany,0.611221
Europe,Lithuania,0.654805
Europe,Denmark,0.654452
Europe,Latvia,0.651379
Europe,Estonia,0.640813
Europe,Hungary,0.6088439999999999
Europe,Luxembourg,0.6531
Europe,Bulgaria,0.628437
Europe,Czech,0.6455850000000001
Europe,Switzerland,0.64146
Europe,Sweden,0.6534949999999999
Europe,Cyprus,0.6747569999999999
India,Uttar_Pradesh,0.649597
India,Rajasthan,0.6856770000000001
India,Haryana,0.6597649999999999
India,Puducherry,0.633652
India,West_Bengal,0.628972
India,Andhra_Pradesh,0.696654
India,Arunachal_Pradesh,0.719277
India,Sikkim,0.733111
India,Assam,0.640903
India,Uttarakhand,0.6847810000000001
India,Tamil_Nadu,0.670606
India,Mizoram,0.705448
India,Himachal_Pradesh,0.711447
India,Meghalaya,0.702507
India,Gujarat,0.6539
India,Odisha,0.6403300000000001
India,Maharashtra,0.6855140000000001
India,Nct_of_Delhi,0.643687
India,Chhattisgarh,0.701678
India,Manipur,0.722776
India,Bihar,0.629905
India,Tripura,0.662349
India,Jammu_and_Kashmir,0.6626989999999999
India,Punjab,0.6308010000000001
India,Goa,0.661791
India,Madhya_Pradesh,0.685229
India,Jharkhand,0.676181
India,Andaman_and_Nicobar_Islands,0.64817
India,Karnataka,0.677636
India,Daman_and_Diu,0.654906
India,Nagaland,0.733324
India,Kerala,0.617093
Israel,Israel,0.712672
Japan,Aichi-ken,0.629997
Japan,Akita-ken,0.59818
Japan,Aomori-ken,0.612939
Japan,Chiba-ken,0.612321
Japan,Ehime-ken,0.596802
Japan,Fukui-ken,0.642354
Japan,Fukuoka-ken,0.609256
Japan,Fukushima-ken,0.616102
Japan,Gifu-ken,0.628775
Japan,Gumma-ken,0.625583
Japan,Hiroshima-ken,0.608992
Japan,Hokkaido,0.587468
